127.0.0.1 - - [05/Apr/2018:11:22:21 -0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:24:13 -0700] "GET /manager HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:24:31 -0700] "GET /order-fulfillment-processor/orderHome HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:24:31 -0700] "GET /order-fulfillment-processor/resources/js/bootstrap.js HTTP/1.1" 200 55258
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:24:31 -0700] "GET /order-fulfillment-processor/resources/js/jquery-ui-1.10.4.js HTTP/1.1" 200 436715
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:24:31 -0700] "GET /order-fulfillment-processor/resources/css/app.css HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:24:31 -0700] "GET /order-fulfillment-processor/resources/js/jquery-1.11.0.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:24:31 -0700] "GET /order-fulfillment-processor/resources/css/bootstrap-theme.css HTTP/1.1" 200 14936
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:24:31 -0700] "GET /order-fulfillment-processor/resources/css/bootstrap.css HTTP/1.1" 200 121220
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:24:31 -0700] "GET /order-fulfillment-processor/resources/js/underscore-min.js HTTP/1.1" 200 14682
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:24:36 -0700] "GET /order-fulfillment-processor/viewOrders HTTP/1.1" 200 4357
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:24:41 -0700] "GET /order-fulfillment-processor/resetOrders HTTP/1.1" 200 2959
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:24:44 -0700] "POST /order-fulfillment-processor/resetOrders HTTP/1.1" 200 4308
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:38 -0700] "GET /sample-1.5.7/ HTTP/1.1" 200 12213
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:38 -0700] "GET /sample-1.5.7/vendor.js HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:38 -0700] "GET /sample-1.5.7/css/hawtio-base.css HTTP/1.1" 200 140221
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:38 -0700] "GET /sample-1.5.7/app/app.js HTTP/1.1" 200 3072408
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:38 -0700] "GET /sample-1.5.7/css/vendor.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:38 -0700] "GET /sample-1.5.7/bower_components/Font-Awesome/css/font-awesome.css HTTP/1.1" 200 27231
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:38 -0700] "GET /sample-1.5.7/bower_components/bootstrap/docs/assets/css/bootstrap.css HTTP/1.1" 200 121663
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:39 -0700] "GET /sample-1.5.7/bower_components/Font-Awesome/font/fontawesome-webfont.woff?v=3.2.1 HTTP/1.1" 200 43572
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:41 -0700] "GET /sample-1.5.7/jolokia HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:41 -0700] "GET /sample-1.5.7/plugin HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:41 -0700] "GET /hawtio/js/samplePlugin.js?_=1522952919856 HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:41 -0700] "GET /sample-1.5.7/keycloak/enabled HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:41 -0700] "GET /sample-1.5.7/user HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:41 -0700] "GET /sample-1.5.7/jolokia/list/hawtio/type=security,name=RBACRegistry?maxDepth=7&maxCollectionSize=50000&ignoreErrors=true&canonicalNaming=false HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:42 -0700] "POST /sample-1.5.7/jolokia/?maxDepth=9&maxCollectionSize=50000&ignoreErrors=true&canonicalNaming=false HTTP/1.1" 200 492520
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:42 -0700] "GET /sample-1.5.7/css/site-branding.css HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:42 -0700] "GET /sample-1.5.7/app/themes/css/default.css HTTP/1.1" 200 31967
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:42 -0700] "GET /sample-1.5.7/app/diagnostics/css/diagnostics.css HTTP/1.1" 200 2037
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:42 -0700] "POST /sample-1.5.7/jolokia/?maxDepth=7&maxCollectionSize=50000&ignoreErrors=true&canonicalNaming=false HTTP/1.1" 200 4455
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:42 -0700] "POST /sample-1.5.7/refresh HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:42 -0700] "GET /sample-1.5.7/app/ui/html/slideout.html HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:43 -0700] "GET /sample-1.5.7/app/core/html/login.html HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:43 -0700] "GET /sample-1.5.7/app/core/html/branding.html HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:43 -0700] "GET /sample-1.5.7/app/core/html/layoutTree.html HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:43 -0700] "GET /sample-1.5.7/app/ui/html/icon.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:43 -0700] "POST /sample-1.5.7/jolokia/?maxDepth=7&maxCollectionSize=50000&ignoreErrors=true&canonicalNaming=false HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:43 -0700] "POST /sample-1.5.7/jolokia/?maxDepth=7&maxCollectionSize=50000&ignoreErrors=true&canonicalNaming=false HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:43 -0700] "POST /sample-1.5.7/refresh HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:43 -0700] "GET /sample-1.5.7/jolokia/read/java.lang%3Atype%3DRuntime/Name?maxDepth=7&maxCollectionSize=50000&ignoreErrors=true&canonicalNaming=false HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:43 -0700] "POST /sample-1.5.7/refresh HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:43 -0700] "GET /sample-1.5.7/app/core/html/layoutFull.html HTTP/1.1" 200 106
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:43 -0700] "GET /sample-1.5.7/img/icons/java.svg HTTP/1.1" 200 832441
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:43 -0700] "GET /sample-1.5.7/app/perspective/html/defaultPage.html HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:43 -0700] "POST /sample-1.5.7/refresh HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:44 -0700] "GET /sample-1.5.7/app/core/html/preferences.html HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:44 -0700] "GET /sample-1.5.7/img/hawtio_logo.svg HTTP/1.1" 200 3813
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:44 -0700] "GET /sample-1.5.7/app/themes/fonts/Droid-Sans-Mono/stylesheet.css HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:44 -0700] "GET /sample-1.5.7/app/core/html/welcome.html HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:44 -0700] "GET /sample-1.5.7/app/themes/fonts/Open-Sans/stylesheet.css HTTP/1.1" 200 3899
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:44 -0700] "GET /sample-1.5.7/app/core/doc/welcome.md?_=1522952919857 HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:44 -0700] "GET /sample-1.5.7/app/themes/fonts/Open-Sans/OpenSans-Regular-webfont.woff HTTP/1.1" 200 23208
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:44 -0700] "GET /sample-1.5.7/app/themes/fonts/Open-Sans/OpenSans-Bold-webfont.woff HTTP/1.1" 200 24196
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:45 -0700] "GET /sample-1.5.7/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:47 -0700] "POST /sample-1.5.7/jolokia/?maxDepth=7&maxCollectionSize=50000&ignoreErrors=true&canonicalNaming=false HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:50 -0700] "POST /sample-1.5.7/refresh HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:50 -0700] "POST /sample-1.5.7/refresh HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:51 -0700] "POST /sample-1.5.7/refresh HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:51 -0700] "GET /sample-1.5.7/app/jmx/html/attributes.html HTTP/1.1" 200 1486
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:51 -0700] "GET /sample-1.5.7/app/ui/html/confirmDialog.html HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [05/Apr/2018:11:28:51 -0700] "GET /sample-1.5.7/app/jmx/html/attributeToolBar.html HTTP/1.1" 200 291
